relation,source,target
r_cidr,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e,IP_CIDR_7d858973ded67c50dd01acf90f455e267c0c58998e57b9c923717ce939add055
r_asn,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e,ASN_4eba77aac4cf89cf4d89ac512cebbaae9c589e31878d997f02bf320085cf07e0
r_dns_a,Domain_6158a69c311a5a54a6141d8aec96f7b079bfe7de68a5e18d430eeff425246ddb,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_cert,Domain_6158a69c311a5a54a6141d8aec96f7b079bfe7de68a5e18d430eeff425246ddb,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_subdomain,Domain_6158a69c311a5a54a6141d8aec96f7b079bfe7de68a5e18d430eeff425246ddb,Domain_d300c4b68e5ef89bc2912f076c9d990c3d1c49a932a6eb888e187628af4e4dca
r_dns_a,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_subdomain,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,Domain_f4b2e3f0de5d5adfc35e632f0137a70565d17330a728e9a087cef3969d80c91f
r_dns_a,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545
r_subdomain,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,Domain_885878cc21f3eed97e553437e959cb275343e381a80159d9f65107222e5788ce
r_cname,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1
r_cert,Domain_61c48131cbf42be125b277ee760c6168188f9bc3501d9fdf4650eb0bf4b03b69,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_2bbc72fc895dee3d9245f7369e0c59a61638930d288ad6ce2a9ceeeeed6d0c62,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_cert,Domain_2bbc72fc895dee3d9245f7369e0c59a61638930d288ad6ce2a9ceeeeed6d0c62,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_fda95eb3a7c374c6bac2692096641a854211e02718d7c5e4e061aefbcf845a9b,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_subdomain,Domain_fda95eb3a7c374c6bac2692096641a854211e02718d7c5e4e061aefbcf845a9b,Domain_2bbc72fc895dee3d9245f7369e0c59a61638930d288ad6ce2a9ceeeeed6d0c62
r_cert,Domain_fda95eb3a7c374c6bac2692096641a854211e02718d7c5e4e061aefbcf845a9b,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_5edc8dfd64e965f96dbafe322553defa4c7411c9ca1d346a1ba1ede1688e70c9,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_subdomain,Domain_5edc8dfd64e965f96dbafe322553defa4c7411c9ca1d346a1ba1ede1688e70c9,Domain_daf9508c92b5b365e495f0d4c6cba65127d9a6af03cf86dc2f7431ecdeb8c319
r_cert,Domain_5edc8dfd64e965f96dbafe322553defa4c7411c9ca1d346a1ba1ede1688e70c9,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_daf9508c92b5b365e495f0d4c6cba65127d9a6af03cf86dc2f7431ecdeb8c319,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_cert,Domain_daf9508c92b5b365e495f0d4c6cba65127d9a6af03cf86dc2f7431ecdeb8c319,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_d300c4b68e5ef89bc2912f076c9d990c3d1c49a932a6eb888e187628af4e4dca,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
r_cert,Domain_d300c4b68e5ef89bc2912f076c9d990c3d1c49a932a6eb888e187628af4e4dca,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_c33084e51609b5c5d2371a2272d81050f64d6303e90089a5997912df16824c60,IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e
