relation,source,target
r_subdomain,Domain_8639200a01d5320f9d22eea6f93bede410d011f9047ae1c9afcf53f597bb7012,Domain_0c5572b5f21ec221e2a9209931cb9d8a947988ca1a5bdb6542e3fa31bafa923b
r_cert,Domain_b10f98a9b53806ccd3a5ee45676c7c09366545c5b12aa96955cde3953e7ad058,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_cidr,IP_c6090e9e4726f2d9224f277a18f65f709302c0e701e0de2d89513b2247bd6f2d,IP_CIDR_421753e1f9d50442ad058315e2ab1ba76104ebc39764039f788257df5dc643d4
r_cert,Domain_407aa4f39ed75375fefa819071b77101aff1fc396d1edc074be9d3189a618649,Cert_a77b63d27d07fd9cc522afb93664f99d9f56f9edadf84e44ef4537748dc19141
r_subdomain,Domain_8623e8d6c244e308dd93c8d771ab8d3a88ed81d8e0667f8169725702e414da4b,Domain_494862aa0a45cd80cf9c73d03412e0bedac88fd32642697d30dbaf289a495f45
r_cert,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_cert,Domain_19490b592e8afb10f344a061c56e7f469233cd8220b47cacfff492d2dd4d8eec,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176
r_cert,Domain_0c05b4b999de3c3b6f1bbf12602e08473e6e4e1882930449410a9c3aecb97b65,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
r_cert,Domain_45bb77d0e64eb9029ec366d7dc103ac5af84496a086dbe4d8d7c4498ba89a0a0,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
r_subdomain,Domain_9d51a12244c5dba73379d11d3bdf3f5e4cb8356184bbdbddf7ca51af8f850af1,Domain_fcedf259d17df6c6c613d5c0b6afeaaedcb23a16b248b418ecf0c0100ea80c40
r_cert,Domain_110c141fc601c0fbfa04f736d21e9d4d7131311363dec9f0194572c88010a347,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
r_cert,Domain_08829f2dd6a178e7fb32613ad3938e74107882fe83e421ae0ed00312c3b7ef7d,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
r_cert,Domain_2c374c493c2b8477af0e75e3836e5e905e0d06de897a439d50189dc0a9730b86,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_subdomain,Domain_b3823d8bacbf61540a83efb2e1b401e4a26b8689683fe747082b6c993ebcd356,Domain_974f35a551eee9c2493751dbbcacbacce3b47ffe4fe89894917ec903751a8c94
r_cert,Domain_dd056c42bb08c5eab0e332b2f4e4c28def535d73d9e33385741dbdbf2d766bcd,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_subdomain,Domain_037e26b9416b7ad0c0992bb62dd857011760ad59e39e70810e2f7de249cc3061,Domain_78fbdf3b2080766aca017c8c63e1784f5768a85bba92729921c41699c3e1257a
r_cert,Domain_e78a3e82b4bf7759f7b32570f1adb4f9fa9e0ca5c8ef5515adf66d09b1a7e278,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_cert,Domain_24846228bd383a33bf3bb13cc1c3448ea909955e8bf2784e4798aee61b1c29bb,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176
r_cert,Domain_16023ca575a5928cae1bedd9cc05931b6ee0b16b89b7d73b92a77edf9ba3504a,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
r_subdomain,Domain_569f28859782d5be95f251f65476be4a3a174664f005974536c01fb9dd5e9e9f,Domain_ad0543df3039b880d2727ee0c3b181c8b4bf6bb17213a6480bd4267b80b6ed94
r_cert,Domain_06265ddc1c219ba2bdedff07dd27f44880ba0e6727bb9796687824eeb8a63941,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
r_cert,Domain_339993bcdc8b1ee9986f7caec5823de0c6cc0ac98f3dee93bd19a4a41f0a9035,Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176
