relation,source,target
r_cert,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Cert_94bb9e1a9c872495708b1d350367e1eb3d4dd137e3b829c84028dd26cc9f43fe
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_dfaa6a8d8a443400ff7dcbdf7ea692de317ec7c25ffb35bb41f2d4827dc442f5
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_9edf8b9fe5f466067d324978646b56ef50d444508c44d9a679fff05c946fef38
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_136a30fb09124d6fdade3e3ffbf46c3708f361e40ed011b7f27ade91a5a30f92
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_630ad0b4920bfdc057f7f41929ece3e807e0006d0683d760bdee44b9bcb74e4f
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_49bd5aaf965aa54b1c898833ce0d5993ce051b900b1fe8dce758f4719b826a97
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_2665b739cf2cd4ae4049ac305ebe46e5a92439e4a62a7e181379c171a3098d5d
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_6601cb371dbe89e126d5255267972929a6a2a22e3e4179a75d4708ca8ff07028
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_6133f2bc106a59d86ced33d84fc5967f86029a14e920e60a940cac8752cd4310
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_97c8df87f65e7531d3cd27ea54fa7a1f99e87a06ec6a79f76fa2ec6727ace97b
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_f05a811523cc0d174679b7022c323733da1e2908cf1a96f70f23d82718b9f5d3
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_4b12eebbc0b595cd30478a0f2d769b57d0f2a02be41ba2b5c7739f54fe58d07d
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_3b95d8edb7612f532d955bdc655c8933e4aeb9ac89c7d58adafad15038b9405e
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_39f0cd3065c9126b78157341832b7173f8d50fd0824792dc8ba2b9fc968fc2f2
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_1caaa336358862542335506a8cc83b706aba41022e73e6dd83415a50dc76cf74
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_cf9170a373a05b73569c5300a808642f7520be0aaada31d0a369321ba23a92df
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_61b74d79b09a0cc98bbd1eb467e925ff9d20870d2a60fb0fd96a0ce46be20977
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_212242320b82a8f34b70e0140061f097bbb3f88ea7b9aa1bd459651cbd8810ed
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_08dfd60004fd1318168413fc6ab57e8ee3cadba8f0b64137e18453a19c8e90a2
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_93d31fc069c42e6730d8ec488499316bb3cd816594e893f0a46b3dfa65c2bd44
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_c5d4761d7ea4445a1744d820786e4383c3b70fa111f1e17b4a5740bfbb10fc1a
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e45d94ff1463328f6a81ff57b89529d1c650c8a0e03d82a01760743870d2fc0e
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e7409368a81084fef69c36fccab2fb6034d10d93efb61c36ae8e0e26fcca43c0
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_0539ba2ee67b6ec94fd2dc99e92977fe1a991fe22b009cc0a7cc30cb985ce627
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_bf63c699ffef298ba3eff46b612086381ec4e24020b3f0b8a0227d00fb5c99c1
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_dd584f855d3ac86195281809c3fe54032c04f2e9b623aa0e3c094a6566a59ff1
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_ec214e29f103e33f9728b1dbaaeb6af12093bc3eb29862ebd76c484ad4fb14f3
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_66c578264cca93ba0da2104739483cd653ebbb7b16334e3cc5ca338e21199d6f
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_55f5b3fcc5fb631fd9aa02c0f0dfa024c329c3db89dadc53af6a013776a65b29
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_09ff47167789b2b77e5e12437881c8d44a7ede160a12055f424af2ea61c40375
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e24722c9db406ba5f76b9c9e63c756d8a867edfea8804625767710234661d70f
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_f734b5fe7f29910bfb754f6ad869f9838b78372a77718a1dc3761a9d2c2a1ee9
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_202158a0d5da015f5586fbf7c3ba0b59dd73726029b0fa0da08efe603c8c862c
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_09e34c3d5424eafd28ebb4f55963e53706e5162406f7b35f6728ece10153c5d4
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_4263a8efa1b37e979df4620ffea8e1e778d6e32b0d9842220b0bfdc13e21d81e
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_bcc886e0f7e02598c3356e188f4bbf4909792650f1face048f989c08b25ecffd
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_a79b60975895bdaaf6f76f0f18abd3eaaa4af95f98f1e9e2b4f867f013e44492
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_114968ac18cdcae22cb32440e9bce48d342c7122208422fb50416edaa84f907c
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_4a582d648f56cf3114311dd9c31a374a4cdd5c2824c48d74c126ccf98ea475fb
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_8753056c67fc54e870c00f58ebd9ea3829ea693c1ee024ae80f1b6cfd605ada9
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_3b48914810ff09b8aaddf6f20f37cb01651fecb85c219a9e134217d74886e9a6
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_6622408030eda932e50f34beacd787b419f87fe7577d2e6330372731cd9076ac
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_6ffd741fe113f8b313ec670c91031af431ea362616d718f901c6f6265feaf376
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_937dba59bfb0d42370b259e3b1fff0667c3dda23981a59cca6135f6791894b01
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_df066c7927cff50f9742288083e71f5ba34b2a2777b9aa5f954419b3291b0f25
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_a6bc8dc1322e620bdb931b0b05b8db5e701a6e2be343d2853a3222eb9269cf1d
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_419608581da3d4c4eee04c34d4bb2e4d3f8675ceec7eb04faec906c5d9b56819
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_f88583294462100f7021955114863967b0383595553c298570e12dd000d70564
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_b3d02b58ab66aba9fe7910fd8aadbd56e6e3114f3897458978f0cd57999973c1
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_a610f6d519ebd7b1cd08588416f1ce0e4f9566261af7e082053f3ea1a14665a2
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_0b2ca95bbf3d4c647b0647a9d4524bf2be54dfc0ee9efe9e316ea3d716bb44bf
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e0bf25dd7fc31ddac031288679cdaf3c7f742d649ae9cc85027a3cbbb4cca814
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_a68b79b37f0ea0d74198ef037730058cba32663043654835e0d05ffe75138fdf
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_741b68c49c281c8c7c1168c022fd20499580ea8ae223aec9ab0268650679d1bd
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_b65bc149b9de0790b19a11b21ef132c9a59cb621176c752b4b19691b9f57716d
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_6f552fadea77438992f463059643d84a3426670e037b7a1394e5369902b84d9f
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_7ce81d3585046e21b26d838b5f18e321aa28c29ef89e25f50e35f24dffb49362
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_7063a94108bd2ebbcc2f8539f43c835426ab0fca8c933392e5418bbe39fca859
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_c7afbad36cb7228a272d63ca75249ff31d69cf8a17d65051579959437e85953d
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_77b504a66b74134f53c10c345dec2a43d1540d97cef9b810ac2c6a0e98176f2e
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e5f0b4d5d89cc77fdc59a4cc5e7d40fb26a2225d1e950068851f5df061706346
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_099849532138422ceb956d9b2a20ee2e8157ee67ecad43b9df920d64864004c4
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_33c4b6eab224c3e00f80d05bb8184490cc4dbdae19a27a3953b8ec0dce306133
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_e135eedc02d0e56ae0c2c16a74cbf140655df913f98060670924aa49c18996a4
r_request_jump,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_4f59449be10d686f4aabf7f70b070e68c55f13397150c4ee9082f79199d33d45
r_subdomain,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,Domain_23314532d1b7a8dcefa617d95dfecdedf4bbd34adbf9e7235e4f0b0c8558b415
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_cb8649e3521842dadd8d95c4835f0b17f055346a4b83da3f55207a9def5b0088
r_dns_a,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9,IP_1e0ce2c908bc3a3b0b08ee52f5ac1a812ba15c948254ae2b24e246bc54e2f6db
r_request_jump,Domain_8cfbc3dc32c53413f89000e1ed8c7c387032e5c0138a250085e3be964dbac32e,Domain_24acfd52f9ceb424d4a2643a832638ce1673b8689fa952d9010dd44949e6b1d9
r_cert,Domain_8cfbc3dc32c53413f89000e1ed8c7c387032e5c0138a250085e3be964dbac32e,Cert_439c49e6a74315ee472c40dfadb645c7d7cd6717af89da39af841cf849469c0b
r_dns_a,Domain_8cfbc3dc32c53413f89000e1ed8c7c387032e5c0138a250085e3be964dbac32e,IP_14af590b7301d510ff7f292e92525a1c28a667b9829ed0b714117aee01d7bcbe
r_dns_a,Domain_8cfbc3dc32c53413f89000e1ed8c7c387032e5c0138a250085e3be964dbac32e,IP_db7d34a23169cc6fc2ac0c109726d2acc8d39acd43f64138c4fd77a3f2675af2
r_dns_a,Domain_8cfbc3dc32c53413f89000e1ed8c7c387032e5c0138a250085e3be964dbac32e,IP_628d19c260b222475308ccd16c9c654c65c442a16f78630153288d6e0b004cb6
