relation,source,target
r_cert,Domain_995873494f938619d1e36fa7e103eaffaaa40a5fa44bf3120433c19b75da5cd5,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_562754395b9b3e06b4a357a6f3c2e24bec7b03e39a3bdd8f35b006aef891c0e0,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_a644d6855543569da114c607757aa8d3172d095e46c4bb1b9afcb538cf0962ed,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_f218b3e1c529953469d2efdee136c40ad514efed531a673592ed80f22198de8b,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_0c8165d6d6b44c8da657f57d298d60dbee3249bd6c873fd9f70303e5cf8d1bfa,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_6fd773a4c2b60c02d60dca2515bbc22fbbd6385f53e19e666018eb479b224c5c,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cname,Domain_34f4a291c2bc5516c63eda2d069863f9808dedd92398896f3dfd080ab50148ae,Domain_1033849b64f39361330a2b8620e1e84d5ad9d78fec4b01d9d8f368f4ae66f110
r_dns_a,Domain_55784fa8b203a4456ce7007b52bc78d362417871eabdf71ec223c71330b99d3b,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_cname,Domain_0c8165d6d6b44c8da657f57d298d60dbee3249bd6c873fd9f70303e5cf8d1bfa,Domain_7bcc10f6a039efcce6d210c153c516c35d1c510ae1ca21d52e3e4017514c00ab
r_dns_a,Domain_9642297dc85ab7aa5a5156f59b8280db2242e382bcdbe64fca34f748d5292394,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_asn,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad,ASN_be98f3d98446e23a97c56062943febfd96f40b235915bad79dd9600375bda691
r_cert,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_dns_a,Domain_0d677f8bebaba2e7f33bdc36a06e995321267bab209ddef89a600ffb3faa1f50,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_cert,Domain_88852c6320306078ff57390a210a851425988914d3cd52b88e30216ba23fe15f,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_75f2e2e97c5fb16f1fbef1d5d6e8a646cba55c6ccf94af4fecd424aa3dad50b8,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_b962cddc3d902ea98b0bf033c69979c58324c1208c01319dc26a3f4d74cd244b,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_dns_a,Domain_1033849b64f39361330a2b8620e1e84d5ad9d78fec4b01d9d8f368f4ae66f110,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_dns_a,Domain_e019bafd90bfcef4f968473e4ba94c6ac10a35d4ce8ff969e736b3778097b49d,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_cert,Domain_e4d3b5f8cdcfa6b95eeabe1616e22a7d79c23710e31709854e67d5afccce71e0,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_17fee8ce19cd3181640ed1eda9ca551e3f902a90cb6a37d5e50b69130d547b08,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_cert,Domain_020ac96b331b0921beaa331f66db03e53c243aa9fc3ae88aa5a8b11293b8fedc,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_adf951cdcba1a1fc127e010339053d19fb765440e03388cd4ab2729bd9edf4a1,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_b4d006db2528fe329bbae871a19527d5dc46b73bbb31dbd2468d711174789f68,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_eeabab91665be965463d12e906dfdd33a1282546fef46b8f972c88dacfeb2bd9,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_cert,Domain_0b330552b817ee16c6a09c68d38b898858d0810d06762fcbb650469416bbe44a,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_f2e6d0f4b1b835ae3df15ff356615bc4771a83585e913d81ccc7f733eaec729b,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_dns_a,Domain_2de1567229187946f21f4870499fa207077dabe1daef1d80bf7e6e2e2ecff9e3,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_cert,Domain_ce4174cda1ef73f4911d0208e5dbab7143de763816214c0166265aa9830019b8,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_e16c44ed26db263fa149f7f3085351c1f4cff40a941d2e5f37c860500ae27351,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_1c19c5105ba1cba4eafd56a3bf53bd9979e7561f8dc72b768a3a4d74c1803ba9,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_dns_a,Domain_88852c6320306078ff57390a210a851425988914d3cd52b88e30216ba23fe15f,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_cname,Domain_7e4909447eba38fc29cda914e5b5ecb4e0563c08a57af101f0f2ce9ed1ecb9e6,Domain_7e99c10617ef9ccba9bf0751204b52989f37f7820d330101f8df783a1184c24c
r_dns_a,Domain_09ff19d53152e5813bcc8cffecce12e9bc24234b4c58abae3a1288dfbbcebec1,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_dns_a,Domain_70f30b44988bd891609e6393045b4598582f2fa248890fdf0a7f69cf4a2f0b75,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_d0e46b0d990cdc6127301390b680b2e948e0eb63186f9c4464861543005c8545,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cname,Domain_71fd92045ea9fafc794c9ac669a6ee274cb49fddf36f7f575e59454fadbe9909,Domain_7e99c10617ef9ccba9bf0751204b52989f37f7820d330101f8df783a1184c24c
r_cert,Domain_7e1e68d3b3a833a0847046aad991d210495f8cc06ffe9ea1167bae3380fca476,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_de9f82f8f2347f6fa96253048976072e4813db89887580dfdfdce81a296098d3,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_83df6a812a7675919db028d82da3cdf82f8ddbaf47246ec5eec69a732edb6a18,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cert,Domain_7e1e1bd7fc430a1df95297c6351f0004033cbe029814fd7b914132843815cf24,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_subdomain,Domain_71cfd6c0ca113f9ac4c9b537bb26be5cfa5c288e36990697bfdbea39b6bab7e4,Domain_5e8fc1ababddc799b0a5045ce102df515083d492572d86f514abfd9f2fb9ac49
r_dns_a,Domain_71fd92045ea9fafc794c9ac669a6ee274cb49fddf36f7f575e59454fadbe9909,IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad
r_asn,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671,ASN_be98f3d98446e23a97c56062943febfd96f40b235915bad79dd9600375bda691
r_dns_a,Domain_28d08ca074479acf1949c6ee4ec4fc4f5b3f863e6cbf2573a8d49aa70b29be0e,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_dns_a,Domain_8e9c4b4685a5b8385f31dc28e5f726a78cb5c731c0e810212de953aa5dcd883e,IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671
r_cert,Domain_6fc06b2926f3328bbf243831055edac55c314670b7f0485478b21f36b305c261,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_dns_a,Domain_a77c2276313fb9a9213884029941350961b3a3c3bc9e565736b095e5ab1cf855,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_subdomain,Domain_70f30b44988bd891609e6393045b4598582f2fa248890fdf0a7f69cf4a2f0b75,Domain_83df6a812a7675919db028d82da3cdf82f8ddbaf47246ec5eec69a732edb6a18
r_dns_a,Domain_2ff185b104d8a92aed65558a0e097af4d723bb29fee6bbe7bfa437fe0eb4f34e,IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023
r_cert,Domain_ff8aa64710946d218a92fd75a6b07e9418ef8a66bb06a6cdeed8f8be2266c2c5,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
r_cname,Domain_88852c6320306078ff57390a210a851425988914d3cd52b88e30216ba23fe15f,Domain_7e99c10617ef9ccba9bf0751204b52989f37f7820d330101f8df783a1184c24c
r_cert_chain,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f,Cert_c01f10c61adcaa00ba6d4b85d30ec802bae76597915d7da4f8f094714ab0c597
