relation,source,target
r_dns_a,Domain_bb5bf28c0d762d4f816995548eb5052ad07153004ba399e742b9f3c8a26faecc,IP_4edf77140695cacda619ac329696a1d013d6fa28cc29472e336526257d2a8d13
r_cert,Domain_79d47159fc8db99edbd91d847311bfed25b93f6750c68905113a5e1ee6f18234,Cert_5268f305a68fc6c269d0345b7b3626d48163b1aaea2e1328c443b82a408dfee7
r_dns_a,Domain_e0e20c49f495ec09f309a0c4b9c79f22a8850cbfc16f689e58af4977c531bf04,IP_26bcb79dcff41a2faa5cad56cc50dd87d93d2d0c249cf329f9b0b8d3d7fae221
r_subdomain,Domain_80ec9902e830666766c70a0dcd815dff46bd6792c8badd41ddd6981dfa88312f,Domain_5e9d1a38652d0b04c2edad67394801ca7a9f0cda77a70ea486919ba8935440ae
r_cert,Domain_9f06fe14c73ad0572a8155c71130073c85e0e5eee5a02780e0e15c582971f3d0,Cert_5268f305a68fc6c269d0345b7b3626d48163b1aaea2e1328c443b82a408dfee7
r_subdomain,Domain_44ae149188ab2e5ea2e0181f34f900f1981ba26a669fc1b282b22de2859c15a7,Domain_04ac145831dd68425283ba1c3727becfa2c4a9392d8c6516cf816ba8b48be8f2
r_subdomain,Domain_973b4969b8ba91c14cdcf50f5e74547b734c04406914c470f8bd7415fd178c64,Domain_afc6793cb9353cee446add28ebff1f9507c0fc76cff0d499397f5795750e11b3
r_subdomain,Domain_973b4969b8ba91c14cdcf50f5e74547b734c04406914c470f8bd7415fd178c64,Domain_c9b4ba124e2ee884db13702b602771973385f6e214b9f1dc94f212903da8af91
r_dns_a,Domain_debc8add342f31c6347baaebdd9d45dfb682d675df058d1e0fc0091c17bc5b0b,IP_5d2be9af0f2f658f4e65733761d26232cd91840a13c051b550d7be1f628bce24
r_cidr,IP_5954abae5234a939190a8006ae763ab13b10c319841f39c47d0b79597a354fc0,IP_CIDR_063aac93086f9ccbf72f30ae43ebb6c9cbf6585597fe6123a46838d22541c219
r_dns_a,Domain_b7e5ead0976394f837f2cf0c50c8b692831c8351cfdb139985e9caea23d99438,IP_5954abae5234a939190a8006ae763ab13b10c319841f39c47d0b79597a354fc0
r_subdomain,Domain_bc598bfdcaea09a65d6666ac48bf9bdcf5961d1188af05b06c875ab5fe9e1fc0,Domain_f44d555c7d4c5e13646ff9969ad5c18ae8a862f774c6b46188f62c70b8d69198
r_cert,Domain_973b4969b8ba91c14cdcf50f5e74547b734c04406914c470f8bd7415fd178c64,Cert_5268f305a68fc6c269d0345b7b3626d48163b1aaea2e1328c443b82a408dfee7
r_asn,IP_67e22bb19688fcfbbb0335e4450fa914ad97f2edd90f4d50ce27ba0ea5cc004a,ASN_894a39aa8f6405a82567c5c1832fd3a6b110552c2fe84eafa929a3e603fc4387
r_dns_a,Domain_dab1efa7ac1d82dc04fcac9e2691680c26086b165fe26f33bea0f93ecd8a5361,IP_00c134bd1ef6be10aac03ff491521cd5bb335e687480e5aff1db1009d2725a79
r_dns_a,Domain_d4b9a4aa1993d4f9466f4e7a62b0488cc7a39e0ac5cdbe121b91e42af5c0210e,IP_5954abae5234a939190a8006ae763ab13b10c319841f39c47d0b79597a354fc0
