relation,source,target
r_asn,IP_f488a7190d6b5c9f827e7b6a28176cb9f618633dc3663586824f0b8df21b540c,ASN_99fdfffd6903a124519df33f4b37e1b45bc7234f26c783f7254f09235b9ca30f
r_dns_a,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,IP_f488a7190d6b5c9f827e7b6a28176cb9f618633dc3663586824f0b8df21b540c
r_dns_a,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,IP_e6c0236b5851197b2dbaa05f66e4600cb47d41f771bc4cc1fce7fa757166e6a2
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_ced982749dece4fcd920acfd81bf2f990481ddfb8b85de38643ac47b094a68af
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_e56fa2f7a2b74e3f5551b3ea819b10e8e23240ba4d4eeaa79ce08f6cba53b92c
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_ef7079a9ea0578ccb097ab3ac476d251701a4d1a395f3a636767f8c4206951e5
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_24e9f02afdde04d35933d1b8389b9312d42f79d53c2324bff09f09d51a154eba
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_44a406a836684945b2cc549f4ec301c1ba85c8ac08cb43fdfd6a068002d83557
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_dc9c45141fb44da3ee4da4986e0340ad8bd1f5762546297841f3501cd6c10aa6
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_fa85c1405f8dbd29b7f9cf8fde3423ca6bf95937229776dbec0a4530385541a8
r_subdomain,Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,Domain_c351234211c49132ff579e818f26fcba387fd77ced4b0e27273da82d622d5e4b
