relation,source,target
r_cert_chain,Cert_0d3a3c699022105c41d93176264ca9e0172f02834c974cc175daec8516da9376,Cert_af49e2b01dc6d08092dadad88916a07fd8cb2ce30e118b8591bab058ddef0def
r_cert,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Cert_0d3a3c699022105c41d93176264ca9e0172f02834c974cc175daec8516da9376
r_whois_name,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Whois_Name_5da541a56bf0982d262d0acad2630fac91a3ec91706b38b6fa9fc2dc886461ef
r_whois_email,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Whois_Email_f55ae84e3f38aa6cf9781845343edb1c77b84b1e547f14a13833d02d9ab2bd94
r_dns_a,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,IP_840e9f0660b573cec0617ead6a1fa506e8600cb53146fc0d5380410769e65c41
r_dns_a,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,IP_565dbe7d368c9feac9d922e997a5f3fd5e99b1f7396eb3930ce63797c42584cf
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_62c075a9374545ec7a24c5af3ebebd867682a615104d54f75c5e236ff054a6cd
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_4c1e0e5b63e0cb6fa9ee1c28dcc12539a6ae5ef0def9051f83172b0ef62b2188
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_746d56ec6eb1d6f79cea4e1365604178da58267f4f56ff7b2d2307cb4b6ef9e7
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_1310423a4a44a473372d6a6f1d1baa71ee880a5c78503b84dadcc35dab25994b
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_0d9012e112d870eedad30d34bef9c8cbe9714f5bf1bd8b64ca432b122b20db49
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_6529c0fe78591a92a2a75a1b8c91345dd5b41eb135153b30e43cd90fa905f25c
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_4e8b9328c7eef7011ec8103260080dbd25753cdea8ecdb6350251cfea733c776
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_67dc864b51ba3872171eaff11248e993c6a0c0fa17750e10ab39d4760227e9e9
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_69473b6502fa4d1397812045aa98358b7d1ae881cf12ff56749627438f3a2a4e
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_06c7be51403005ee3f2f51d80dbbbcabb39e930eae1c4a1ae18c01f5a5d1b7e1
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_3d33bf2051c1402f992f35ea1546c30d93bb6083c86de0e94dbc70b891f8fb51
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_dd5ed83640015402e01d5df0b068b04f1e896dfee2477da8484b871c83e99ce6
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_72f68f497c76e6bd528d6770e6355f6e89afba5b31013c296ed6bad0b7702a25
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_3be599990836bda9bdeb86cf8aea879679a6e6d111764ae60d00cba7a755d136
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_fabedc9032d059ec33477c45d3bf2dddd8f9e2a05655fa3ec5091a50e98340fa
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_0a5ec86099975fd7286c56400f3d8f934e29b9f9afcdf35ad57530c88d1c8963
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_41a8255056eb78fd76fd730806901531af937f428774ac9c341c7822ced554f7
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_5978d8a505289eefcf0f38e0106c2430ef7b7aefdb9c3bb5d10cb9e79e284997
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_a136948471ddef631cae44d064ba0b4fd2951b9b8f98789a7e20263e32d3d28a
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_42489cd35247b42881528199a742b19fd678b8c6f413edaab3c54a1e82c14720
r_subdomain,Domain_4a05e044e82f564839eaab5c5fa4968656310a1f872b900fe18e3b376e5ec0d5,Domain_b359fe698ec749af9813136d49173dd5ccc185e57c6ef79d710a6cfdea5520e2
