id,name,type,industry
IP_f488a7190d6b5c9f827e7b6a28176cb9f618633dc3663586824f0b8df21b540c,18.208.xxx.xxx,IP,[]
Domain_80014682c83e786305f11f78195def8997c9e68e4c0e54a37ae59af52a14742b,80014682c8.com,Domain,['A']
Domain_fc9813f0d959a7f5af5d721a003b3e06c525de239d93c95f8d7778d1f51cde57,fc9813f0d9.com,Domain,[]
Domain_54f1127d195b4bde2ed73dd70068d72c31d64bc54dc933df485b75ec2ed58436,54f1127d19.com,Domain,['B']
Domain_a74a4797f12f9192a7241acbb67b0de8d70d89cd4bf0d07d07e02b6fce70ccf3,a74a4797f1.com,Domain,['B']
Domain_cb7ba452ac1aea88a4aa96884924fde0c20d2ad9866ad3d7afca147a2529fac3,cb7ba452ac.com,Domain,['A']
Domain_79561e4e990a20d0ad77fc78576ac0c4a8da54c429ac7ef60410c5e736040462,79561e4e99.com,Domain,[]
Domain_21741301f88d85d5ab808e212e5333b4bf3b10a64740d64eac8d3f6ea30ef7f3,21741301f8.com,Domain,[]
Domain_448a4f2e3e379d7334d5f1b2d82031e3612e0437152fe8eb11f376d579e3851e,448a4f2e3e.com,Domain,['B']
Domain_d1654773324a48c2b5eba3909a9080653ba51e1ef9aff3f4611efddf4e59390b,d165477332.com,Domain,['B']
Domain_8718eab517eb39a87f35fa38519d8e639d774157815677e4c3aa035d4cdf8aab,8718eab517.com,Domain,['A']
Domain_5f6c8be6bed66805cbcb0f8131a54358615d0319bfad12d1280cd381124e896c,5f6c8be6be.com,Domain,[]
Domain_8f5d1a37a5757c00a89a8d88716d9a6ccf15ddae5616b725bf147139640596c4,8f5d1a37a5.com,Domain,[]
Domain_4c0df15563adcd365ca027bc1f73f24865c6aabe1d17eee74bef5003322152de,4c0df15563.com,Domain,"['I', 'B']"
Domain_e871b9924290753aa7ec895c4a65de5a5587485671cdecafe730d5eedae44685,e871b99242.com,Domain,['B']
Domain_546c880141ca8eac8c090d4743bcc446bb0ac67d8085d1b1a7151a10278fc23a,546c880141.com,Domain,['B']
Domain_226d32eaea7576c65d074f3197a4cfa6163af9bbf43770656637ef6f70aaee10,226d32eaea.com,Domain,['B']
Domain_6a97494dbff3a0b9e9f99f340dcea7bac00ace05d2a3b78ab4b1423f5fb905bc,6a97494dbf.com,Domain,['B']
Domain_2170c10642d9bfb52a77174315379590b7ab0607508b5dce7fe3a9258b42aa0a,2170c10642.com,Domain,"['I', 'B']"
Domain_9f57bceb79c560f6cbcae367b76856a0f158f5eaf2c38e57189795ee152e04b8,9f57bceb79.com,Domain,[]
Domain_6a6f2dd3cb844c5c4fc7f86b9675fc7baec67565a62957bda0384796b76cf309,6a6f2dd3cb.com,Domain,['B']
Domain_984619a176a3caf312b5cfa0430f32dd6afb9d18027cc7f7ff62f6c7d3221a2a,984619a176.com,Domain,['B']
Domain_eea05330dddf37670b725344d7e5c30c0bc37f67c41db719c2c8d8ff933ce696,eea05330dd.com,Domain,['A']
Domain_ac362e098d0fba6f01afb3cbe25a0a992460bd70f9e369f0ed1472e2b1f57a87,ac362e098d.com,Domain,['A']
Domain_7c956da0559fca62db003007e65958c8db6849d4288ab215b547af0b5f11b7d3,7c956da055.com,Domain,[]
Domain_05047bc0426375628a19614fc10785da4a184d58ab61eaeb3cb9d04d22c2ac7c,05047bc042.com,Domain,['B']
Domain_0798dbead7bb20b0ed301cdd287b5b7e1ddebd3f69b6ea82dcac7c57b1c0ea0b,0798dbead7.com,Domain,"['I', 'B']"
Domain_189d12dd627de0d3dd3801fcf535f5d0e3613ece7c86730843b183967c829001,189d12dd62.com,Domain,"['I', 'B']"
Domain_1a09abf942f6c3759ceefb6842bbe398452d9117320edc4d497e9b03b28e80c4,1a09abf942.com,Domain,"['I', 'B']"
Domain_8ce1e4e207903f6995bfd9d57180b29952537e4082b0b1898339ce5c0cfa8271,8ce1e4e207.com,Domain,"['I', 'B']"
Domain_b419dea9818d615c8cd86a2b26c5ebf023e58c18e6ad5a155acaa893ad9db07c,b419dea981.com,Domain,"['I', 'B']"
Domain_b09dd9c577e58660e2de1cfa7f9f8d78472415c691555ac71a4552193bca7985,b09dd9c577.com,Domain,"['I', 'B']"
Domain_8ed05a14f1e3c1a8de3ba7eca789d9aaf187783560d73c241a858e276241e32b,8ed05a14f1.com,Domain,"['I', 'B']"
Domain_67797004b9a107ca321ac07df6460d771ab44c0bfe55753a91d9c2877ade9963,67797004b9.com,Domain,[]
Domain_fe02060453315dd1b4b732c3919d14d855ad13406f6c00c86121ca9a2ae4f430,fe02060453.com,Domain,['A']
Domain_baf7807c5496a709df680a7b2f19b741a72628338e95fef2d0a1453cb2239f22,baf7807c54.com,Domain,['A']
Domain_6a00381551a8c89cdab73062db6a254ac57e7f1e89d83547d4ce7693b9655609,6a00381551.com,Domain,['A']
Domain_dc0331715404ff62df12253f412a28f37a74cd3d105a2a8681293d712ed15cd2,dc03317154.com,Domain,['A']
Domain_23806cd14c545e1ed512cfd7e48f811e843466a25acc664a59d85de1d29b3028,23806cd14c.com,Domain,['A']
Domain_53532357ec14741c06c11a23ae26f85612c6ef335755a1826e260e47bf352594,53532357ec.com,Domain,['A']
Domain_e1d9beef7cd187678bebf2a4cd2bdb1537104f3c4a88f3e27f6079381147c4e0,e1d9beef7c.com,Domain,['A']
Domain_72d3d9e52f0bb38f6d4e9f332d8bf7066982bd064e45e21ca4b8ff6010936ce9,72d3d9e52f.com,Domain,"['A', 'B']"
Domain_9bc6d1b38055b009822a0f6560d2f00c0653182fdf29ded2c20ed0010fd74b6c,9bc6d1b380.com,Domain,['A']
Domain_07ad0e4d42b9fa2b7a8a1d0c28330954c8f7cc75e2a93059dc10963b17bd10db,07ad0e4d42.com,Domain,['A']
Domain_0e02e8babf54361b16f2eb262ece0ba47784682bdeff236964b23b3252a18ed6,0e02e8babf.com,Domain,['A']
Domain_943929ddb56df6729a468da91fc3f12a8a50910b4e9e3b9bb52761392354e197,943929ddb5.com,Domain,['A']
Domain_8601d28ae5a572160d9cc10a3fa080dafbda586b3eee9ac3745f8c4c86737eb2,8601d28ae5.com,Domain,['A']
Domain_6bee92c1798eebd069a5e723109119f8500765cc15fc312acfdf6af20c9bab67,6bee92c179.com,Domain,"['I', 'B']"
Domain_d31734ace1d8c8c3eaea891779735024fa385107ad2a8ac0f656a35d6fed5eb8,d31734ace1.com,Domain,"['I', 'B']"
Domain_381019b87d1f9105f76b2ac0366307e492784bff04beed9534ed5f0e9bf00a25,381019b87d.com,Domain,"['I', 'B']"
Domain_b4c3540c225fdbd1f014c6bccbdf7a0d2f3cea9e84723ba7fc7cf5385397d595,b4c3540c22.com,Domain,['B']
Domain_74ea5dd63179cad28fc05e86d0b870a610daa9e1ab1b6084f90fafe25c7a5334,74ea5dd631.com,Domain,['B']
Domain_88063e027d4f0db83c30895ac76c8d04fc76415ecf8cd16a60da5c29943177db,88063e027d.com,Domain,['B']
Domain_c9130a0001efde6e2d537fec33cdeea8a1af299231543beceb294a63f157dd55,c9130a0001.com,Domain,['B']
Domain_4dac49f30aa23d6e6609b55b7a696b7f1d923f5ee7a1e84f70030a91689e7eb1,4dac49f30a.com,Domain,['B']
Domain_fdd02b3f6321f453263fbddc4ae80085f5d720fb6e5de4cadf6b767aeb71dc68,fdd02b3f63.com,Domain,['B']
Domain_b853b0e8d54ef33e2087b2015b6b445d8b5ee12ee6b20fe7ad67b65071e34818,b853b0e8d5.com,Domain,"['I', 'B']"
