id,name,type,industry
Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71,1b22e6e2c9,Cert,[]
Cert_a77b63d27d07fd9cc522afb93664f99d9f56f9edadf84e44ef4537748dc19141,a77b63d27d,Cert,[]
IP_d8445ec5260aaece527bc20643af2ef4cb5c143ce0630ab4fbe7ad74fbc5546a,156.241.xxx.xxx,IP,[]
Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425,c992a7d7f0,Cert,[]
IP_c6090e9e4726f2d9224f277a18f65f709302c0e701e0de2d89513b2247bd6f2d,156.241.xxx.xxx,IP,[]
IP_6a40dc56586f8898df1ac070dc6e630c047dbe00def1fcfe737c026a7f6b69fc,156.241.xxx.xxx,IP,[]
IP_8c2235f7cb908ecc15ac1f0e612710ad8023f043bd5849b43368775c51473c1a,156.241.xxx.xxx,IP,[]
Cert_d570aebdd3b0f0b4194315d8df020dc805f114401fe3c6999967f60de17b6176,d570aebdd3,Cert,[]
Domain_cbce17d4539e71611b2a57e1b6ce9dece9ff8c5a689ed39031441c3964cfc560,cbce17d453.com,Domain,[]
Domain_d54f9fd5901ba5793b3e28a0edeec2cee4d53cd460a44ccdb37d1bd9ed598c1d,d54f9fd590.com,Domain,[]
Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,8bd7ac7069.com,Domain,[]
Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,ec6c5dc691.com,Domain,[]
Domain_037e26b9416b7ad0c0992bb62dd857011760ad59e39e70810e2f7de249cc3061,037e26b941.com,Domain,[]
Domain_677def7b2648c461f1999e3df64aa3dc5785b6aecf695099494523b97521da7b,677def7b26.com,Domain,[]
Domain_b89ca040ed48625c8d66258bb3a15c75e5b149696edf2c2e992a4b5f926dd041,b89ca040ed.com,Domain,[]
Domain_f6cd8e5757e24624e632006992fe4766fc1888f957d071143fbcc1df988537c4,f6cd8e5757.com,Domain,[]
Domain_16023ca575a5928cae1bedd9cc05931b6ee0b16b89b7d73b92a77edf9ba3504a,16023ca575.com,Domain,[]
Domain_8ae385b7dc3870bbb76e4bd5999d2a6e405d4204764735661c745ef66b52589f,8ae385b7dc.com,Domain,[]
Domain_0452dfc35498e6681d9eac1ad5ac999a65c0dd4968dfe9cf240896220338dd40,0452dfc354.com,Domain,[]
Domain_9bc5189957bd5ef0c0f0c78379eb7c48f51986933e8279dc7203294541ce1a2c,9bc5189957.com,Domain,[]
Domain_0316d820556f89b3798d4c439e477e32a8714c91ca5363d9797c84a702ca1bb8,0316d82055.com,Domain,[]
