id,name,type,industry
Cert_a91593a45b6eceaae2a0478cc243543184d325720bc3f19f91982450b6af57e2,a91593a45b,Cert,[]
Cert_9ace6aae20e3ac6d9ebfae8938b91112460b27ad204cf11f1301f154c5d309a4,9ace6aae20,Cert,[]
Cert_e72592e3cf6097989d7af61181669ba7c72fe3e7059ecf79f284391665d32fe5,e72592e3cf,Cert,[]
Cert_c01f10c61adcaa00ba6d4b85d30ec802bae76597915d7da4f8f094714ab0c597,c01f10c61a,Cert,[]
Cert_c22fc138cc2be15458f09a60abc254ca7766ecb463782233ac843f293a497bce,c22fc138cc,Cert,[]
Cert_aebe86cc8331745fa6c411ce4863007c4b80cd2af25ee86b7fb70587e9539711,aebe86cc83,Cert,[]
Cert_6d69681aa1362802e8325e1ff1e41ae5df40272849b4e18d683a323720af116c,6d69681aa1,Cert,[]
Cert_a19604b5059faa7f72a4686c34d8b2b0f00bf3f5395260ab567d84c48d44401f,a19604b505,Cert,[]
Cert_0492ff91e79b9a3e02f4041c722237ab31e2121af21acf41375023b51685bf82,0492ff91e7,Cert,[]
Cert_be35d6e276fc7fc8e52c9378063baad21e95c0e4841b1c67957125bdcc912066,be35d6e276,Cert,[]
Cert_180be68450634d5658c97f130fc8655f74766a355250ce604616111c761bf86a,180be68450,Cert,[]
Cert_c268113d9ded7e8a9f9a352f18f41ca6d9f7fc073573dfcc3085145ab6c30a98,c268113d9d,Cert,[]
Cert_52f34b38df9b291050d17c6bf5c0aae10ffdf4c4673c6d1ae94005475a12d9c3,52f34b38df,Cert,[]
Cert_95531c96bb43e0dc3c064e81538c19b558ba83cfd272f36330233e9d78c464fd,95531c96bb,Cert,[]
Cert_28269db7f961da94c808ad8277992e0030b6e3edeb393f642f1d54f250b11f3c,28269db7f9,Cert,[]
Cert_90397acbe06eae3b7ce98f8eea1f6b8bc1f17e81e4597f7dec11a8ca51356824,90397acbe0,Cert,[]
Cert_dc431f598626208a6dbce2492e104b86f7fade757f2b56ab2453456d58ad1c34,dc431f5986,Cert,[]
Cert_9a1481b11df2156b0088bbef0e7bb1b1360a8420f268229da72a59303df0e513,9a1481b11d,Cert,[]
Cert_b7336ce2a3dd26d17171253e60927c8453322d0d045bf4856d1de38fdc626bc0,b7336ce2a3,Cert,[]
Cert_b986f00b7c0361c59e43b4b515fdb77dc8edd496aa9c1700eb10beac8cde3f5a,b986f00b7c,Cert,[]
Cert_fae8adba71dad2bff1dd7823124e864e3eb4b07adfb0d0845bf3f0e2e496d91b,fae8adba71,Cert,[]
Cert_9d6cb1e8893f72f1b418356f7a1602700d2e65faa2d2b3c537efb3ccb864b653,9d6cb1e889,Cert,[]
Cert_12cb1c3f15c243f04e09e33d5954423169b1a8b600f625266cf13632ca3eb855,12cb1c3f15,Cert,[]
Cert_02a87a6b5960b35e8b73745242cbeeefcdbce9c7c6bbd981df031000e8f97d28,02a87a6b59,Cert,[]
Cert_5562dcfc16c6cd1099b99353da80f3891363d7f5d7983558db0ee8bf7cbe0bd9,5562dcfc16,Cert,[]
Cert_37a3ab1ba4c2c20e48e3f24daf62d2eaa3ee037093bbeb1b1949faac022d5b7a,37a3ab1ba4,Cert,[]
Cert_e21bc3376bbb0a5e98b1bd610f3180bbcc97215f95d99afe08465667466b276d,e21bc3376b,Cert,[]
Cert_cd39317bc120b1fe19f5228c16853e9c1f1fbca0a09bde867b3f8568a47bceba,cd39317bc1,Cert,[]
Cert_941933a99d8e32371bd2f7f73e1ea43741377c02380c0a5f34d2e5f044ee220a,941933a99d,Cert,[]
Cert_f089935dcfbd0c6444bbc07c6c112e2ed42e79e5c8aa92e90f00803a295b6791,f089935dcf,Cert,[]
Cert_e35daba760ce97efcfe142aa5fdc0816a633f3522ac541ed69aa0cb0fb90d302,e35daba760,Cert,[]
Domain_d9fade1c82581ff9ac18b968e3a68c243a563fefe82413706fd8525cd6374b07,d9fade1c82.com,Domain,"['C', 'E', 'A', 'B']"
Domain_bd0c559d9681225f4b4eb5830f82541f112661b77198430088a4e0b72a0cab4c,bd0c559d96.com,Domain,"['C', 'E', 'A', 'B']"
Domain_42ad77ef778a389914d8e749d5a8b934a7ce3c28a6e79ffbcb3fab9665cf7d28,42ad77ef77.com,Domain,"['C', 'E', 'A', 'B']"
Domain_54a3cc551095ac7c21e5bd21d9370b7457d86554620459c5eceba2244cef3867,54a3cc5510.com,Domain,"['C', 'E', 'A', 'B']"
Domain_b12be23dcf9939073da32a0d7837b54168e5d7d4ce54c235be39fa5f0e5589bc,b12be23dcf.com,Domain,"['C', 'E', 'A', 'B']"
Domain_583cf20362c27583fec209199347ddf9f2261500f266f4e9fc645efa613e0c3c,583cf20362.com,Domain,"['C', 'E', 'A', 'B']"
Domain_eb890ee74292f23e4dfbfe29facbb92a9b4a0aa40cb85886bb2df9901e9f587b,eb890ee742.com,Domain,"['C', 'E', 'A', 'B']"
Domain_2fa18b3a77599af570f00d9b5295ae71859899639b55f585971187a2bfb3d6f5,2fa18b3a77.com,Domain,"['C', 'E', 'A', 'B']"
Domain_6a34d81288c39600772695f3398ec6cd882b10f3bfc387ef7fb99f1a489e87cd,6a34d81288.com,Domain,"['C', 'E', 'A', 'B']"
Domain_79ea6eb5ddd9c27915bbc024bbb167d7f8cfd686c71eb5fd945b480e7b371dab,79ea6eb5dd.com,Domain,"['C', 'E', 'A', 'B']"
Domain_c03e2b2e317aa858a0924d5c12350e11921f7a068d68f5bc73cf2cca726ab226,c03e2b2e31.com,Domain,"['C', 'E', 'A', 'B']"
Domain_d661a5b8dd62bfa8b20847bb5ff70368c371079b849b10edd9a2443296956c28,d661a5b8dd.com,Domain,"['C', 'E', 'A', 'B']"
Domain_c6fb2192fe6ba2de0f1258c168f34382df63658359ee831bbda9f669db2e0499,c6fb2192fe.com,Domain,"['C', 'E', 'A', 'B']"
Domain_6f51b90ab3ab80b45407724da4f21428fc679ab578242223ba6be8020bd6b2c0,6f51b90ab3.com,Domain,"['C', 'E', 'A', 'B']"
Domain_02b41c73282112d4b58d00eb6aefb32b1cfd05606ac65a65a2542bf77d2a7684,02b41c7328.com,Domain,"['C', 'E', 'A', 'B']"
Domain_976ca7ce8c203dc49cbc7205374c9d33265cf5b2b7f14f8e53d6773231d7dbc1,976ca7ce8c.com,Domain,"['C', 'E', 'A', 'B']"
Domain_60fcd06e63ab65c71570ac27e64bc41e63f0dcc4c27a593780401d6ae9118847,60fcd06e63.com,Domain,"['C', 'E', 'A', 'B']"
Domain_bf376c62a482f81a24a83853c7e361987a0cc648b08a5e25cf23f6cbece88870,bf376c62a4.com,Domain,"['C', 'E', 'A', 'B']"
Domain_8e5181a042ca09786bece555e8a3be705846ecf7196d1ff3afd7e1362448d4ec,8e5181a042.com,Domain,"['C', 'E', 'A', 'B']"
Domain_f021929febb56723ed51d56edfec40667f55f8379635b0deda7f08e2f654d4e1,f021929feb.com,Domain,"['C', 'E', 'A', 'B']"
Domain_579973552fc7ce5a0ea66c88ea67aa35fcb0d2afb1ca20ff19d8508afad8ba7a,579973552f.com,Domain,"['C', 'E', 'A', 'B']"
Domain_a4319eb2903f26acfe6cd3361fc1c5faae35b7651d667f333a4766a28978f512,a4319eb290.com,Domain,"['C', 'E', 'A', 'B']"
Domain_4d95d911bd480be98e6942eec658172c9409b6ac7acc674f7ca6d6c6bed10505,4d95d911bd.com,Domain,"['C', 'E', 'A', 'B']"
