id,name,type,industry
Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063,fe794a69ea,Cert,[]
IP_4247b388c21ab3bb162e195ef863ba7bfcbc747857b489b911fc7e3cd1b734ad,122.114.xxx.xxx,IP,[]
IP_3a234d9df7e163676323735869f9b4f3350b5403397c55f42f90d435f5dae671,122.114.xxx.xxx,IP,[]
IP_64cb3d6e3a5bef52cd49bb0e870d4343e3f3b3d6a0bea978e9915ae635858023,116.255.xxx.xxx,IP,[]
Cert_e806d1cde02fe277b9b06f6a804d4b9e84d5a72d624b79f7b5602242c638c1a1,e806d1cde0,Cert,[]
IP_306855f7b121c42de28108df343b4ef88706acd9ec7877fbe6d961a74db2c6c1,107.151.xxx.xxx,IP,[]
Cert_c01f10c61adcaa00ba6d4b85d30ec802bae76597915d7da4f8f094714ab0c597,c01f10c61a,Cert,[]
Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f,90251c3412,Cert,[]
IP_e2a5939beb0c567fc0db3b50b1c6fe085a3294abfe25652b8b394b7131babb5a,107.151.xxx.xxx,IP,[]
Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226,392d981eaf,Cert,[]
IP_CIDR_cf10b6b23f2bf73154cb0cd92904264904835b2934d7a87bb9fb0613765757c8,122.114.xxx.0/24,IP_C,[]
Domain_f2e6d0f4b1b835ae3df15ff356615bc4771a83585e913d81ccc7f733eaec729b,f2e6d0f4b1.com,Domain,[]
Domain_613258406fe6e7de52a440a1afb4437f6228cce4c3c4f6189fb623049f5cfadc,613258406f.com,Domain,[]
Domain_1c19c5105ba1cba4eafd56a3bf53bd9979e7561f8dc72b768a3a4d74c1803ba9,1c19c5105b.com,Domain,['C']
Domain_f3554b666038baffa5814c319d3053ee2c2eb30d31d0ef509a1a463386b69845,f3554b6660.com,Domain,['G']
Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226,392d981eaf,Cert,[]
Domain_75f2e2e97c5fb16f1fbef1d5d6e8a646cba55c6ccf94af4fecd424aa3dad50b8,75f2e2e97c.com,Domain,[]
Domain_0d677f8bebaba2e7f33bdc36a06e995321267bab209ddef89a600ffb3faa1f50,0d677f8beb.com,Domain,['C']
Domain_bc9c0f77d9f87ea79b2f49a0f3079e7e93fbf06162d7cd89066ae95a18ce05cf,bc9c0f77d9.com,Domain,[]
Domain_17fee8ce19cd3181640ed1eda9ca551e3f902a90cb6a37d5e50b69130d547b08,17fee8ce19.com,Domain,[]
